Creator username,Affiliate GMV,Affiliate orders,Affiliate LIVE GMV,Affiliate video GMV,Affiliate LIVE orders,Affiliate video orders,LIVE CTR,Video CTR,Direct GMV,LIVE direct GMV,Video direct GMV,Direct orders,Products sold,LIVE direct orders,LIVE products sold,Video direct orders,Video products sold,Items sold,Est. commission,Commission base,LIVE views,Views,LIVE streams,Videos
-,"$128,026.41",5736,"$5,761.66","$121,759.11",301,5414,11.41%,5.48%,"$112,199.48","$4,576.85","$107,376.33",5092,5374,227,261,4846,5091,6063,"$22,483.95","$130,606.18",31281,9974418,33,783
missxkenshin,"$35,196.23",2165,$0.00,"$35,160.16",0,2163,0.00%,5.62%,"$31,174.26",$0.00,"$31,174.26",1906,1988,0,0,1906,1988,2267,"$6,637.49","$34,021.33",0,2984923,0,111
shopaholicismyname,"$22,240.10",773,$0.00,"$22,211.11",0,772,0.00%,4.38%,"$20,062.16",$0.00,"$20,033.17",701,734,0,0,700,733,806,"$4,190.21","$22,814.11",0,1450242,0,42
theebomeister,"$16,532.14",340,$0.00,"$16,532.14",0,340,0.00%,1.17%,"$14,548.53",$0.00,"$14,548.53",290,293,0,0,290,293,343,"$1,551.18","$17,469.86",1,1018732,0,67
justkeedah,"$12,614.98",901,$0.00,"$12,614.98",0,901,0.00%,4.11%,"$9,757.25",$0.00,"$9,757.25",726,791,0,0,726,791,982,"$2,381.80","$14,391.24",0,736419,0,139
jace_rio,"$8,617.81",274,$0.00,"$8,617.81",0,274,0.00%,8.31%,"$7,275.83",$0.00,"$7,240.60",278,295,0,0,277,294,295,"$1,152.49","$9,261.37",0,380810,0,129
kanariiskitchen,"$6,325.39",313,$0.00,"$6,054.02",0,305,2.62%,13.11%,"$6,300.17",$0.00,"$6,274.00",325,339,0,0,323,337,329,"$1,476.34","$6,407.34",497,733139,1,49
ksdealz,"$3,634.89",115,$199.00,"$3,435.89",1,114,15.70%,3.82%,"$4,129.50",$199.00,"$3,930.50",132,138,1,1,131,137,120,$962.80,"$3,794.89",1057,159560,3,34
biobalancehacks,"$4,676.87",148,$66.56,"$4,610.31",2,146,0.00%,9.14%,"$4,049.82",$83.65,"$3,966.17",138,145,3,3,135,142,156,$959.97,"$4,146.24",0,85041,0,32
sarasgoodfinds,"$3,515.03",114,$0.00,"$3,477.80",0,113,0.00%,5.51%,"$2,695.34",$0.00,"$2,695.34",95,95,0,0,95,95,114,$882.04,"$3,600.76",0,1883548,0,14
melissa.hs77,"$3,068.53",99,$0.00,"$3,040.54",0,98,0.00%,7.00%,"$2,627.78",$0.00,"$2,560.28",97,103,0,0,92,95,101,$584.88,"$3,213.87",0,57084,0,43
amandabeautypanda,"$3,664.02",191,"$3,626.88",$0.00,188,0,40.52%,6.36%,"$2,480.25","$2,443.11",$0.00,121,129,118,126,0,0,201,$635.21,"$3,992.82",5898,1037,3,1
mitchhod,"$2,009.41",54,$0.00,"$2,009.41",0,54,0.00%,2.15%,"$1,774.42",$0.00,"$1,774.42",48,52,0,0,48,52,59,$148.84,"$1,944.97",0,75246,0,18
levidoesdeals,"$1,673.47",103,"$1,673.47",$0.00,103,0,4.45%,1.90%,"$1,620.33","$1,620.33",$0.00,96,122,96,122,0,0,129,$245.43,"$1,614.27",21178,6117,16,4
ttshopl,"$1,249.87",42,$0.00,"$1,249.87",0,42,2.16%,2.83%,"$1,033.64",$0.00,"$1,033.64",35,36,0,0,35,36,43,$182.46,$968.08,417,150913,1,10
brittvibing,$263.01,9,$0.00,$263.01,0,9,0.00%,2.00%,$578.45,$0.00,$578.45,23,24,0,0,23,24,11,$52.19,$267.25,0,751,0,0
chloevanscoder,$415.56,13,$0.00,$415.56,0,13,0.00%,5.50%,$448.86,$0.00,$448.86,15,19,0,0,15,19,17,$45.00,$363.29,0,14899,0,1
dealswithbrayden,$583.70,13,$0.00,$583.70,0,13,1.39%,12.23%,$317.49,$0.00,$317.49,7,9,0,0,7,9,15,$88.68,$564.77,360,66933,1,11
ravenvaldeskenworthy,$370.72,12,$17.40,$353.32,1,11,2.41%,1.93%,$286.72,$17.40,$269.32,9,9,1,1,8,8,12,$38.10,$340.20,1784,22940,7,26
theshopplug_,$528.86,17,$82.37,$446.49,4,13,0.00%,4.68%,$265.69,$151.86,$113.83,9,9,6,6,3,3,18,$108.59,$614.49,88,76831,1,3
clicked_it_bought_it,$193.64,9,$0.00,$193.64,0,9,0.00%,12.38%,$209.96,$0.00,$209.96,10,11,0,0,10,11,10,$47.40,$188.17,0,20047,0,0
beachmomshopaholic,$270.50,10,$0.00,$270.50,0,10,0.00%,2.52%,$194.09,$0.00,$194.09,7,9,0,0,7,9,13,$62.08,$272.61,0,7815,0,15
jcshopss,$85.98,6,$0.00,$70.37,0,5,0.00%,2.16%,$100.94,$13.51,$87.43,7,7,1,1,6,6,6,$10.74,$72.41,1,18040,0,6
jackieboyle13,$147.22,6,$95.98,$0.00,2,0,0.00%,2.32%,$99.23,$47.99,$0.00,5,5,1,1,0,0,6,$16.25,$146.16,0,259,0,0
minashopstoomuch,$60.13,2,$0.00,$60.13,0,2,0.00%,5.72%,$90.89,$0.00,$90.89,3,3,0,0,3,3,2,$11.21,$57.76,0,7081,0,14
contentcreatorshop,$16.46,1,$0.00,$16.46,0,1,0.00%,0.00%,$33.43,$0.00,$33.43,2,2,0,0,2,2,1,$4.94,$18.57,0,1,0,0
